feature,source_feature,mean_abs_shap,interpretation
num__vle_clicks_ouelluminate_28d,vle_clicks_ouelluminate_28d,0.0038880273532640123,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
cat__highest_education_No Formal quals,highest_education,0.0034637685609945025,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
cat__code_module_CCC,code_module,0.0027566677558641044,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
num__vle_clicks_sharedsubpage_28d,vle_clicks_sharedsubpage_28d,0.0025283727185585743,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
num__vle_clicks_externalquiz_28d,vle_clicks_externalquiz_28d,0.0023773569043437706,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
cat__imd_band_50-60%,imd_band,0.0017258643464389543,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
cat__age_band_55<=,age_band,0.0015101068747956263,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
num__clicks_last7d,clicks_last7d,0.0014108024748069237,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
num__vle_clicks_dataplus_28d,vle_clicks_dataplus_28d,9.950940375158048e-05,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
num__vle_clicks_forumng_28d,vle_clicks_forumng_28d,4.680577602813193e-05,Global importance magnitude only; larger values mean greater average influence on model output. No causal or global directional claim.
