feature,source_feature,coefficient,abs_coefficient,model_direction,interpretation_warning
cat__disability_N,disability,-0.1374382752665128,0.1374382752665128,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__disability_Y,disability,0.13314145911400205,0.13314145911400205,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_South West Region,region,-0.11858452960564848,0.11858452960564848,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_page_28d,vle_clicks_page_28d,0.11633877424670921,0.11633877424670921,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_South Region,region,-0.10902391347327092,0.10902391347327092,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_Ireland,region,-0.10812091251717444,0.10812091251717444,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_60-70%,imd_band,-0.10742833787963289,0.10742833787963289,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_70-80%,imd_band,-0.1055429948146898,0.1055429948146898,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__num_of_prev_attempts,num_of_prev_attempts,0.10387601559170183,0.10387601559170183,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_questionnaire_28d,vle_clicks_questionnaire_28d,-0.10239774296257804,0.10239774296257804,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_min_score_28d,assessment_min_score_28d,-0.09400693728044107,0.09400693728044107,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_presentation_2013J,code_presentation,-0.09111417112202456,0.09111417112202456,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__studied_credits,studied_credits,0.08929592484322202,0.08929592484322202,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_North Western Region,region,0.08298609807965059,0.08298609807965059,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_20-30%,imd_band,0.07557099832578454,0.07557099832578454,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__age_band_55<=,age_band,0.07383182243133728,0.07383182243133728,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_oucontent_28d,vle_clicks_oucontent_28d,-0.06827606532126039,0.06827606532126039,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__clicks_week3_28d,clicks_week3_28d,0.06777698341602388,0.06777698341602388,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__active_days_last7d,active_days_last7d,-0.06425923970811903,0.06425923970811903,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_resource_28d,vle_clicks_resource_28d,0.06245273022030525,0.06245273022030525,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_East Midlands Region,region,0.060840637110184254,0.060840637110184254,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_ouwiki_28d,vle_clicks_ouwiki_28d,-0.05584455098022054,0.05584455098022054,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_quiz_28d,vle_clicks_quiz_28d,-0.05389476644775375,0.05389476644775375,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_Yorkshire Region,region,0.05383454098174834,0.05383454098174834,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__unique_activity_types_28d,unique_activity_types_28d,-0.05038967926039826,0.05038967926039826,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__age_band_35-55,age_band,-0.04968836679576638,0.04968836679576638,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_East Anglian Region,region,-0.04483007002954617,0.04483007002954617,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__clicks_week4_28d,clicks_week4_28d,-0.04444443911506203,0.04444443911506203,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_West Midlands Region,region,0.04403236852368514,0.04403236852368514,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_30-40%,imd_band,-0.043569456266663795,0.043569456266663795,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_40-50%,imd_band,0.04228916780211451,0.04228916780211451,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_South East Region,region,-0.040961257866572114,0.040961257866572114,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_dualpane_28d,vle_clicks_dualpane_28d,-0.03983249735298307,0.03983249735298307,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_homepage_28d,vle_clicks_homepage_28d,0.03836051182179339,0.03836051182179339,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__banked_submissions_28d,banked_submissions_28d,0.03775937810502155,0.03775937810502155,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__avg_clicks_per_active_day_28d,avg_clicks_per_active_day_28d,0.03682168854689108,0.03682168854689108,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_max_score_28d,assessment_max_score_28d,0.03510730223439495,0.03510730223439495,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_mean_score_28d,assessment_mean_score_28d,-0.03380881749061256,0.03380881749061256,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__clicks_week2_28d,clicks_week2_28d,-0.03365062080710429,0.03365062080710429,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_London Region,region,-0.03263377944124859,0.03263377944124859,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_htmlactivity_28d,vle_clicks_htmlactivity_28d,-0.03212549181530146,0.03212549181530146,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_glossary_28d,vle_clicks_glossary_28d,-0.031379911875698226,0.031379911875698226,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessments_due_28d,assessments_due_28d,-0.030591440602153595,0.030591440602153595,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_sharedsubpage_28d,vle_clicks_sharedsubpage_28d,0.030565265594236064,0.030565265594236064,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_presentation_2014J,code_presentation,-0.02970897528359143,0.02970897528359143,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__age_band_0-35,age_band,-0.028440271788334564,0.028440271788334564,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_presentation_2014B,code_presentation,-0.02640521121624873,0.02640521121624873,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__clicks_week1_28d,clicks_week1_28d,-0.021485669186791734,0.021485669186791734,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__click_change_week4_vs_week1,click_change_week4_vs_week1,-0.02059545149243091,0.02059545149243091,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__gender_F,gender,-0.019461524578420174,0.019461524578420174,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__gender_M,gender,0.01516470842572173,0.01516470842572173,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_CCC,code_module,0.014589660693656135,0.014589660693656135,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_ouelluminate_28d,vle_clicks_ouelluminate_28d,0.014530302486868828,0.014530302486868828,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__weekly_click_slope_28d,weekly_click_slope_28d,0.011790564586399458,0.011790564586399458,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_oucollaborate_28d,vle_clicks_oucollaborate_28d,0.011633080928029829,0.011633080928029829,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_url_28d,vle_clicks_url_28d,0.011407020819651928,0.011407020819651928,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_50-60%,imd_band,0.010412663983824476,0.010412663983824476,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_dataplus_28d,vle_clicks_dataplus_28d,-0.008514323334168983,0.008514323334168983,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__total_clicks_28d,total_clicks_28d,-0.008499557200686096,0.008499557200686096,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__module_presentation_length,module_presentation_length,0.007889591579834347,0.007889591579834347,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_externalquiz_28d,vle_clicks_externalquiz_28d,-0.007508200510951024,0.007508200510951024,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__last_activity_day_28d,last_activity_day_28d,0.006986413374720828,0.006986413374720828,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__date_registration,date_registration,0.006948352793772954,0.006948352793772954,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__clicks_last7d,clicks_last7d,-0.002478376364562414,0.002478376364562414,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_forumng_28d,vle_clicks_forumng_28d,-9.850313715906938e-05,9.850313715906938e-05,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
